id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3075	deede gammon	-0.5452	-0.4753	19	6	11	5	158	3.5303	2013	31.6	0.7061
3099	denise a peels	-0.9896	0.381	5	4	8	4	86	2.1164	2015	21.5	0.5291
3119	denny meyer	-0.3866	-0.1101	7	3	10	8	141	3.4734	2014.875	17.625	0.4342
3149	dhavan v shah	0.8585	-0.514	20	3	5	3	92	6.4407	2016.3333	30.6667	2.1469
3219	dirk lehr	-0.6406	0.0927	3	10	44	10	202	21.8893	2017.4	20.2	2.1889
3223	dirk schulz	-0.8993	0.411	5	6	11	3	92	2.0667	2012.6667	30.6667	0.6889
3246	dominique alexandra reinwand	-0.8953	0.4394	5	13	22	6	89	3.0553	2015.1667	14.8333	0.5092
3289	donna m zulman	0.701	-0.1083	1	5	5	5	141	4.8258	2014.6	28.2	0.9652
3329	dragan ilic	0.7726	0.4184	8	5	11	4	110	3.4434	2014.5	27.5	0.8608
3339	dusan hadzipavlovic	-0.2875	-0.0205	7	7	13	3	36	2.7852	2017.3333	12	0.9284
3369	e m a smets	-0.8806	-0.0773	18	5	15	3	2	0.1227	2016	0.6667	0.0409
3377	e r seydel	-0.6631	-0.3132	13	10	25	8	1077	13.6478	2009.375	134.625	1.706
3379	e s smit	-0.8873	0.3853	5	13	21	6	141	4.2218	2014.8333	23.5	0.7036
3418	edward meinert	0.7844	0.1325	8	2	5	4	10	15.4442	2018.75	2.5	3.8611
3426	edwin d boudreaux	0.8193	-0.2296	1	1	1	3	18	1.3476	2015.3333	6	0.4492
3456	eirik arsand	-0.3578	-0.4982	4	8	15	9	479	15.0785	2015.5556	53.2222	1.6754
3462	elad yomtov	-0.3786	-0.6029	4	4	5	14	236	9.1202	2016.2143	16.8571	0.6514
